nta2020,amenities_pct,restaurants_count,groceries_count
BK0101,0.732824427480916,2430.0,82.0
BK0102,0.8874045801526718,4439.0,104.0
BK0103,0.6927480916030535,289.0,62.0
BK0104,0.6851145038167938,2602.0,114.0
BK0201,0.7461832061068703,1359.0,18.0
BK0202,0.7729007633587787,3299.0,50.0
BK0203,0.7519083969465649,1332.0,41.0
BK0204,0.7404580152671756,1071.0,32.0
BK0261,0.2862595419847328,28.0,5.0
BK0301,0.8549618320610687,2295.0,154.0
BK0302,0.7805343511450382,1898.0,148.0
BK0401,0.9255725190839694,2669.0,127.0
BK0402,0.7442748091603053,1151.0,97.0
BK0471,0.15458015267175573,0.0,1.0
BK0501,0.7041984732824428,706.0,80.0
BK0502,0.5954198473282443,448.0,84.0
BK0503,0.5343511450381679,762.0,98.0
BK0504,0.3053435114503817,266.0,9.0
BK0505,0.5458015267175572,668.0,57.0
BK0571,0.1717557251908397,0.0,2.0
BK0601,0.6412213740458015,2707.0,106.0
BK0602,0.799618320610687,3524.0,66.0
BK0701,0.6526717557251909,680.0,29.0
BK0702,0.6793893129770991,2115.0,127.0
BK0703,0.9561068702290076,2801.0,115.0
BK0771,0.14694656488549618,0.0,3.0
BK0801,0.8148854961832062,1305.0,29.0
BK0802,0.7461832061068703,1928.0,102.0
BK0891,0.2480916030534351,0.0,1.0
BK0901,0.7690839694656488,1045.0,64.0
BK0902,0.7251908396946565,1305.0,62.0
BK1001,0.6965648854961832,3374.0,133.0
BK1002,0.6793893129770991,1226.0,69.0
BK1061,0.07633587786259542,0.0,0.0
BK1091,0.1297709923664122,8.0,0.0
BK1101,0.8053435114503816,2778.0,174.0
BK1102,0.6889312977099237,782.0,59.0
BK1103,0.7270992366412214,1352.0,108.0
BK1201,0.9141221374045803,855.0,83.0
BK1202,0.7442748091603053,1100.0,166.0
BK1203,0.7767175572519085,791.0,62.0
BK1204,0.4389312977099237,381.0,41.0
BK1301,0.383587786259542,166.0,30.0
BK1302,0.46946564885496184,843.0,51.0
BK1303,0.8263358778625953,590.0,70.0
BK1391,0.07633587786259542,0.0,0.0
BK1401,0.8492366412213741,1717.0,91.0
BK1402,0.8110687022900763,1301.0,84.0
BK1403,0.6106870229007633,837.0,71.0
BK1501,0.700381679389313,1677.0,86.0
BK1502,0.6870229007633588,957.0,81.0
BK1503,0.5209923664122137,1522.0,78.0
BK1601,0.7137404580152672,506.0,76.0
BK1602,0.66793893129771,743.0,97.0
BK1701,0.8416030534351144,1341.0,75.0
BK1702,0.4809160305343511,363.0,36.0
BK1703,0.6183206106870229,1122.0,46.0
BK1704,0.7022900763358779,549.0,59.0
BK1771,0.16793893129770993,0.0,1.0
BK1801,0.5095419847328244,1108.0,77.0
BK1802,0.4122137404580153,1040.0,31.0
BK1803,0.4484732824427481,1137.0,72.0
BK1891,0.16030534351145037,5.0,2.0
BK1892,0.07633587786259542,0.0,0.0
BK1893,0.07633587786259542,0.0,0.0
BK5591,0.21374045801526717,58.0,3.0
BK5691,0.1183206106870229,9.0,0.0
BK5692,0.07633587786259542,0.0,0.0
BK5693,0.07633587786259542,0.0,0.0
BX0101,0.6984732824427481,1490.0,124.0
BX0102,0.8721374045801527,1073.0,91.0
BX0201,0.3912213740458015,450.0,45.0
BX0202,0.8645038167938932,799.0,98.0
BX0291,0.07633587786259542,0.0,0.0
BX0301,0.7843511450381679,418.0,76.0
BX0302,0.6202290076335878,180.0,31.0
BX0303,0.6183206106870229,229.0,57.0
BX0391,0.07633587786259542,0.0,0.0
BX0401,0.8187022900763359,1193.0,116.0
BX0402,0.616412213740458,228.0,41.0
BX0403,0.8950381679389313,874.0,94.0
BX0491,0.5229007633587786,66.0,4.0
BX0492,0.07633587786259542,0.0,0.0
BX0501,0.7099236641221374,569.0,70.0
BX0502,0.8511450381679388,659.0,69.0
BX0503,0.9580152671755725,1030.0,70.0
BX0601,0.6125954198473282,194.0,37.0
BX0602,0.7404580152671756,529.0,60.0
BX0603,0.91793893129771,1516.0,98.0
BX0701,0.7137404580152672,658.0,59.0
BX0702,0.6431297709923665,650.0,65.0
BX0703,0.8473282442748091,898.0,69.0
BX0801,0.6354961832061069,314.0,28.0
BX0802,0.7709923664122138,752.0,37.0
BX0803,0.37213740458015265,841.0,33.0
BX0901,0.7309160305343512,1278.0,106.0
BX0902,0.37213740458015265,170.0,34.0
BX0903,0.5114503816793894,795.0,38.0
BX0904,0.8568702290076335,553.0,41.0
BX0991,0.07633587786259542,0.0,0.0
BX1001,0.6622137404580153,623.0,36.0
BX1002,0.3530534351145038,876.0,32.0
BX1003,0.4713740458015267,675.0,36.0
BX1004,0.43702290076335876,654.0,15.0
BX1071,0.07633587786259542,0.0,0.0
BX1091,0.11641221374045801,3.0,0.0
BX1101,0.7748091603053435,610.0,63.0
BX1102,0.5248091603053435,668.0,39.0
BX1103,0.4026717557251908,453.0,20.0
BX1104,0.7347328244274809,710.0,47.0
BX1161,0.2366412213740458,88.0,1.0
BX1201,0.6145038167938931,801.0,99.0
BX1202,0.42938931297709926,845.0,53.0
BX1203,0.5438931297709924,1008.0,58.0
BX1271,0.12404580152671757,0.0,1.0
BX2691,0.21946564885496184,74.0,9.0
BX2791,0.1431297709923664,48.0,0.0
BX2891,0.1583969465648855,23.0,1.0
MN0101,0.7843511450381679,5377.0,38.0
MN0102,0.7748091603053435,3098.0,25.0
MN0191,0.19274809160305345,13.0,1.0
MN0201,0.9694656488549618,5088.0,62.0
MN0202,0.9408396946564885,4023.0,42.0
MN0203,0.8721374045801527,4303.0,45.0
MN0301,0.982824427480916,4349.0,70.0
MN0302,0.916030534351145,3493.0,64.0
MN0303,0.9618320610687023,6629.0,90.0
MN0401,0.8358778625954199,5698.0,83.0
MN0402,0.9064885496183206,5374.0,67.0
MN0501,0.8587786259541985,7546.0,41.0
MN0502,0.8702290076335878,13488.0,71.0
MN0601,0.4599236641221374,128.0,4.0
MN0602,0.916030534351145,2610.0,28.0
MN0603,0.8282442748091603,3494.0,41.0
MN0604,0.9389312977099236,4588.0,53.0
MN0661,0.16984732824427481,6.0,0.0
MN0701,0.7748091603053435,1953.0,36.0
MN0702,0.7576335877862596,3137.0,53.0
MN0703,0.8244274809160306,1361.0,41.0
MN0801,0.7938931297709924,2830.0,55.0
MN0802,0.7881679389312977,3297.0,44.0
MN0803,0.9007633587786259,2243.0,51.0
MN0901,0.6793893129770993,1118.0,24.0
MN0902,0.6927480916030535,452.0,28.0
MN0903,0.8854961832061069,1262.0,70.0
MN1001,0.8854961832061069,1203.0,61.0
MN1002,0.7919847328244275,1039.0,93.0
MN1101,0.9217557251908397,1603.0,100.0
MN1102,0.8568702290076335,1771.0,108.0
MN1191,0.12404580152671757,11.0,0.0
MN1201,0.8969465648854962,1773.0,98.0
MN1202,0.8587786259541985,1805.0,97.0
MN1203,0.8377862595419847,1222.0,50.0
MN1291,0.1736641221374046,0.0,2.0
MN1292,0.14122137404580154,13.0,0.0
MN6491,0.17938931297709923,30.0,3.0
QN0101,0.5190839694656488,1642.0,59.0
QN0102,0.5858778625954199,381.0,18.0
QN0103,0.8683206106870229,3061.0,70.0
QN0104,0.7461832061068703,2749.0,52.0
QN0105,0.6374045801526718,1178.0,50.0
QN0151,0.07633587786259542,0.0,0.0
QN0161,0.5419847328244275,174.0,4.0
QN0171,0.16412213740458015,0.0,1.0
QN0191,0.1851145038167939,0.0,1.0
QN0201,0.6755725190839694,2221.0,36.0
QN0202,0.6564885496183206,2403.0,85.0
QN0203,0.6927480916030535,1996.0,63.0
QN0261,0.23282442748091603,47.0,1.0
QN0271,0.1450381679389313,0.0,2.0
QN0301,0.7843511450381679,3996.0,101.0
QN0302,0.4770992366412214,626.0,28.0
QN0303,0.9198473282442747,1391.0,80.0
QN0401,0.8015267175572519,4901.0,112.0
QN0402,0.83206106870229,1675.0,88.0
QN0501,0.47137404580152675,1070.0,62.0
QN0502,0.7595419847328244,2523.0,123.0
QN0503,0.5,536.0,44.0
QN0504,0.41412213740458015,467.0,32.0
QN0571,0.1431297709923664,0.0,1.0
QN0572,0.14885496183206107,11.0,0.0
QN0573,0.07633587786259542,0.0,0.0
QN0574,0.07633587786259542,0.0,0.0
QN0601,0.5858778625954199,746.0,30.0
QN0602,0.5782442748091603,2443.0,62.0
QN0701,0.34732824427480913,779.0,33.0
QN0702,0.3110687022900763,458.0,23.0
QN0703,0.2958015267175572,400.0,9.0
QN0704,0.5267175572519084,2351.0,36.0
QN0705,0.4541984732824428,708.0,22.0
QN0706,0.4122137404580153,462.0,16.0
QN0707,0.7786259541984732,6572.0,78.0
QN0761,0.07633587786259542,0.0,0.0
QN0791,0.1316793893129771,10.0,0.0
QN0801,0.383587786259542,447.0,23.0
QN0802,0.40458015267175573,507.0,29.0
QN0803,0.41412213740458015,683.0,16.0
QN0804,0.35114503816793896,456.0,20.0
QN0805,0.4122137404580153,390.0,24.0
QN0871,0.07633587786259542,0.0,0.0
QN0891,0.07633587786259542,0.0,0.0
QN0901,0.5,520.0,18.0
QN0902,0.6087786259541985,1042.0,57.0
QN0903,0.583969465648855,486.0,26.0
QN0904,0.5553435114503817,461.0,28.0
QN0905,0.6297709923664122,895.0,49.0
QN1001,0.5477099236641221,2308.0,107.0
QN1002,0.5190839694656488,610.0,29.0
QN1003,0.333969465648855,642.0,20.0
QN1091,0.07633587786259542,0.0,0.0
QN1101,0.3530534351145038,788.0,23.0
QN1102,0.37595419847328243,1385.0,17.0
QN1103,0.29770992366412213,777.0,15.0
QN1104,0.3053435114503817,477.0,9.0
QN1191,0.07633587786259542,0.0,0.0
QN1201,0.7557251908396947,3279.0,120.0
QN1202,0.3931297709923664,266.0,47.0
QN1203,0.4255725190839695,801.0,36.0
QN1204,0.3606870229007634,309.0,25.0
QN1205,0.3549618320610687,756.0,46.0
QN1206,0.5114503816793894,573.0,29.0
QN1301,0.33969465648854963,566.0,19.0
QN1302,0.2862595419847328,358.0,19.0
QN1303,0.40458015267175573,945.0,55.0
QN1304,0.3282442748091603,310.0,16.0
QN1305,0.36450381679389315,448.0,26.0
QN1306,0.2538167938931298,339.0,11.0
QN1307,0.29007633587786263,369.0,14.0
QN1371,0.07633587786259542,0.0,0.0
QN1401,0.35114503816793896,437.0,46.0
QN1402,0.3110687022900763,378.0,24.0
QN1403,0.26908396946564883,310.0,23.0
QN1491,0.07633587786259542,0.0,0.0
QN8081,0.13358778625954199,29.0,0.0
QN8191,0.17938931297709926,65.0,1.0
QN8291,0.16412213740458015,10.0,1.0
QN8381,0.13549618320610687,210.0,0.0
QN8491,0.07633587786259542,0.0,0.0
QN8492,0.07633587786259542,0.0,0.0
SI0101,0.5534351145038168,633.0,45.0
SI0102,0.5267175572519084,487.0,40.0
SI0103,0.3854961832061069,360.0,31.0
SI0104,0.30725190839694655,638.0,40.0
SI0105,0.38167938931297707,1098.0,39.0
SI0106,0.4885496183206107,546.0,57.0
SI0107,0.28053435114503816,398.0,39.0
SI0191,0.16030534351145037,13.0,0.0
SI0201,0.33015267175572516,712.0,40.0
SI0202,0.4122137404580153,1053.0,39.0
SI0203,0.2080152671755725,310.0,19.0
SI0204,0.24809160305343514,1242.0,30.0
SI0291,0.07633587786259542,0.0,0.0
SI0301,0.2137404580152672,177.0,5.0
SI0302,0.29389312977099236,981.0,36.0
SI0303,0.23473282442748092,223.0,12.0
SI0304,0.20229007633587787,383.0,12.0
SI0305,0.2480916030534351,663.0,25.0
SI0391,0.1698473282442748,32.0,2.0
SI9561,0.07633587786259542,0.0,0.0
SI9591,0.07633587786259542,0.0,0.0
SI9592,0.13549618320610687,0.0,1.0
SI9593,0.07633587786259542,0.0,0.0
