nta2020,commute_score
BK0101,0.42600176895862174
BK0102,0.6250488090589614
BK0103,0.4781828436650772
BK0104,0.5342557189003889
BK0201,0.5857560375326872
BK0202,0.8170025124339846
BK0203,0.5733502538071066
BK0204,0.5252983057551586
BK0261,0.5926395939086295
BK0301,0.6028193464741688
BK0302,0.6074015368873017
BK0401,0.6163252990664158
BK0402,0.56461265574527
BK0471,0.44837332718043377
BK0501,0.3536526924851798
BK0502,0.5306787121507933
BK0503,0.5119734326587119
BK0504,0.35890632210429163
BK0505,0.5871135209967697
BK0571,0.3020304568527919
BK0601,0.4420858329487771
BK0602,0.6134303513745137
BK0701,0.5384892708814029
BK0702,0.5307864724108379
BK0703,0.45962159667743424
BK0771,0.45962159667743424
BK0801,0.6299030918320258
BK0802,0.6225263986536008
BK0891,0.8694047069681587
BK0901,0.6422473465620674
BK0902,0.579931489829967
BK1001,0.5861001141524786
BK1002,0.3460395233312522
BK1061,0.49930779880018455
BK1091,0.3229118597138902
BK1101,0.3060023732612565
BK1102,0.48109032176867894
BK1103,0.47133854407014303
BK1201,0.382856483617905
BK1202,0.37978223130507394
BK1203,0.5154591601292109
BK1204,0.42989299723119523
BK1301,0.430376095985233
BK1302,0.4877230426088294
BK1303,0.4859911661942119
BK1391,0.5018458698661744
BK1401,0.5838428703276419
BK1402,0.5072786004950287
BK1403,0.5423107983387171
BK1501,0.3656552838024919
BK1502,0.5784906717647835
BK1503,0.37126879265538093
BK1601,0.5628518689432396
BK1602,0.48733436614147274
BK1701,0.6359021688970927
BK1702,0.4734656206737425
BK1703,0.3730243424088602
BK1704,0.5249576988155669
BK1771,0.28132210429164745
BK1801,0.5395580167153772
BK1802,0.4123483265018052
BK1803,0.44343057798800184
BK1891,0.5378403322565759
BK1892,0.4953853253345639
BK1893,0.4957314259344716
BK5591,0.48892478080295343
BK5691,0.5072681125980618
BK5692,0.4981908616246493
BK5693,0.5006922011998154
BX0101,0.5634429022753896
BX0102,0.5626730502999538
BX0201,0.5702584217812644
BX0202,0.6918679177562426
BX0291,0.4981908616246493
BX0301,0.5069027841870481
BX0302,0.49380864482387327
BX0303,0.7124068824576438
BX0391,0.4689663128749423
BX0401,0.645057353813699
BX0402,0.5809183202584218
BX0403,0.658062221196739
BX0491,0.4981908616246493
BX0492,0.5053068758652515
BX0501,0.5404937701892016
BX0502,0.7127018920166128
BX0503,0.7388423758982133
BX0601,0.741439778495616
BX0602,0.5317258883248731
BX0603,0.4980964467005076
BX0701,0.6153284110136902
BX0702,0.7396589335906364
BX0703,0.5673742501153668
BX0801,0.6264420858329488
BX0802,0.6046146746654361
BX0803,0.4025053837871097
BX0901,0.5205353022611906
BX0902,0.38378710967543456
BX0903,0.41072046608214124
BX0904,0.5785417628057222
BX0991,0.49526995846792804
BX1001,0.44003230272265803
BX1002,0.3405525024122163
BX1003,0.4800126903553299
BX1004,0.5481656668204892
BX1071,0.4981908616246493
BX1091,0.4972311952007384
BX1101,0.5055888837614726
BX1102,0.3023996308260267
BX1103,0.36362482694970005
BX1104,0.4598651489514434
BX1161,0.4666589755422243
BX1201,0.3686310703330709
BX1202,0.3956506691278265
BX1203,0.3418824988463314
BX1271,0.7155053068758652
BX2691,0.48615597600369176
BX2791,0.8943239501615137
BX2891,0.5037494231656668
MN0101,0.6750115366866636
MN0102,0.9178203353330256
MN0191,0.6243654822335025
MN0201,0.6978772496538994
MN0202,0.8309216164546115
MN0203,0.7687586525149976
MN0301,0.6408821719735425
MN0302,0.6743193354868481
MN0303,0.6149893023450937
MN0401,0.7064647396903972
MN0402,0.7349446239040147
MN0501,0.8374769266266728
MN0502,0.8359400751532731
MN0601,0.4981908616246493
MN0602,0.8482348869404707
MN0603,0.7753614828487926
MN0604,0.8359867712659591
MN0661,0.4981908616246493
MN0701,0.7073911705891401
MN0702,0.6191949490288207
MN0703,0.6039070912167359
MN0801,0.6243398451520279
MN0802,0.8105758454743226
MN0803,0.6981137517305029
MN0901,0.6805161843232909
MN0902,0.648621365943701
MN0903,0.6945316105214582
MN1001,0.7076142131979696
MN1002,0.6648207968004923
MN1101,0.824607752653438
MN1102,0.698171435163821
MN1191,0.4991924319335487
MN1201,0.8229262805722196
MN1202,0.6831564374711583
MN1203,0.5465697584986925
MN1291,0.5027688047992617
MN1292,0.5006922011998154
MN6491,0.5117674203968621
QN0101,0.30403241130323844
QN0102,0.2957814182433472
QN0103,0.46198137349498675
QN0104,0.39192596743358166
QN0105,0.45366447120023495
QN0151,0.4900784494693124
QN0161,0.4981908616246493
QN0171,0.12782648823257958
QN0191,0.08814028610982927
QN0201,0.7563836332871866
QN0202,0.5130282154393829
QN0203,0.5418071775939797
QN0261,0.5744116289801569
QN0271,0.3859021688970927
QN0301,0.503325280273623
QN0302,0.5343101061375173
QN0303,0.4740296364661847
QN0401,0.584656206737425
QN0402,0.46113185384066785
QN0501,0.4047676875622374
QN0502,0.5967045793859769
QN0503,0.2749547406907813
QN0504,0.37629122146888644
QN0571,0.3749423165666821
QN0572,0.16543608675588373
QN0573,0.3259113982464237
QN0574,0.3743654822335026
QN0601,0.5408975542224272
QN0602,0.4934240886017536
QN0701,0.4700276880479926
QN0702,0.3764585668138968
QN0703,0.29686778957083526
QN0704,0.4263052936910805
QN0705,0.5074988463313337
QN0706,0.38968620212275035
QN0707,0.6522650361482849
QN0761,0.2857637286571297
QN0791,0.2839178587909552
QN0801,0.3994145131518228
QN0802,0.3818478475838882
QN0803,0.3786571296723581
QN0804,0.5464640055376095
QN0805,0.5539801568989386
QN0871,0.3210659898477158
QN0891,0.4593908629441624
QN0901,0.5086525149976927
QN0902,0.4266710446913493
QN0903,0.3522534994616213
QN0904,0.41908167974157823
QN0905,0.27900145539739446
QN1001,0.3903368712505768
QN1002,0.44381633594831565
QN1003,0.2562586525149977
QN1091,0.4981908616246493
QN1101,0.31692165702317987
QN1102,0.3513187320293919
QN1103,0.21550530687586525
QN1104,0.25989847715736036
QN1191,0.4125519150899861
QN1201,0.761652053530226
QN1202,0.44969117177239004
QN1203,0.33683920422499103
QN1204,0.3413417166589755
QN1205,0.3649104151200818
QN1206,0.4895785263805569
QN1301,0.2909321642824181
QN1302,0.3393708660206122
QN1303,0.4328807713793019
QN1304,0.3427372120265521
QN1305,0.24649704241305537
QN1306,0.2129672358098754
QN1307,0.3462736502076604
QN1371,0.09483156437471156
QN1401,0.4333756345177665
QN1402,0.45149976926626667
QN1403,0.4644340431142462
QN1491,0.4963082602676511
QN8081,0.5013844023996309
QN8191,0.5006922011998154
QN8291,0.6526303645592986
QN8381,0.42293493308721736
QN8491,0.4981908616246493
QN8492,0.4999423165666821
SI0101,0.41352099676972764
SI0102,0.4055145362251961
SI0103,0.31146169820027686
SI0104,0.31520325544321853
SI0105,0.3591082141209045
SI0106,0.44268574065528377
SI0107,0.4060584085964796
SI0191,0.4981908616246493
SI0201,0.46047242731887406
SI0202,0.5140170742962621
SI0203,0.16970466082141208
SI0204,0.26561778957083526
SI0291,0.5029995385325334
SI0301,0.35186894323950163
SI0302,0.24634287032764188
SI0303,0.23863636363636365
SI0304,0.23486771265959083
SI0305,0.49382787263497924
SI0391,0.4981908616246493
SI9561,0.5043839409321642
SI9591,0.4981908616246493
SI9592,0.4981908616246493
SI9593,0.49584679280110755
